id,titulo,descripcion,tipodepropiedad,direccion,ciudad,provincia,antiguedad,habitaciones,garages,banos,metroscubiertos,metrostotales,idzona,lat,lng,fecha,gimnasio,usosmultiples,piscina,escuelascercanas,centroscomercialescercanos,precio
254099,depto. tipo a-402,"depto. interior de 80.15m2, consta de sala comedor cocina equipada, área de lavado, baño completo, recamara principal con closet y baño completo. 2da. recamara con closet.",Apartamento,Avenida Division del Norte 2005,Benito Juárez,Distrito Federal,,2.0,1.0,2.0,80.0,80.0,23533.0,,,2015-08-23 00:00:00,0.0,0.0,0.0,0.0,0.0,2273000.0
53461,condominio horizontal en venta,"<p>entre sonora y guerrero, atr&aacute;s del hospital &aacute;ngeles del pedregal, en excelente estado de conservaci&oacute;n, construida en 3 niveles, estacionamiento para 2 autos, 3 rec&aacute;maras con pisos de madera natural la principal con vestidor y ba&ntilde;o, 2 ba&ntilde;os completos pisos y muros de loseta espa&ntilde;ola, canceler&iacute;a de aluminio, 2 medios ba&ntilde;os, cocina integral con piso de loseta espa&ntilde;ola, sala de t.v., sala con piso de loseta espa&ntilde;ola, vest&iacute;bulo, comedor con piso de madera, l&iacute;nea telef&oacute;nica, terraza techada con policarbonato puede ser antecomedor, cuarto de servicio con piso de loseta, fachada con policarbonato..&nbsp; 4 casas</p>",Casa en condominio,AV. MEXICO,La Magdalena Contreras,Distrito Federal,10.0,3.0,2.0,2.0,268.0,180.0,24514.0,19.3102045,-99.2276548,2013-06-28 00:00:00,0.0,0.0,0.0,1.0,1.0,3600000.0
247984,casa en venta urbi 3 recamaras tonala,"descripcion 
la mejor ubicacion residencial en el oriente de la ciudad urbi versalles, te invito a compartir una nueva forma de vida en la zona urbana de guadalajara en el mejor desarrollo residencial en su tipo, ven y descubre un concepto residencial integral unico: 
 por su amplitud y tranquilidad. 
 por su seguridad y confort. 
 por su diseños. 
 por sus bellos terminados. 
 el mejor precio del mercado. 
 por su exelente ubicación, estamos cerca de todo y de todos! 
 vias de comunicacions rapidas y modernas. 
 centros comerciales dentro del fraccionamiento . 
 bello ingreso privado y vigilado. 
 acceso controlado en cada coto, con guardias y vigilancia por video. 
 perimetro totalmente cerrado. 
 cableado oculto. 
 amplios jardines y areas verdes. 
 areas infantiles y deportivos. 
 escuelas, centros comerciales, hospitales, farmacias todo lo que necesitas a la mano. 
 tranquilidad garantizada. 
 3 recamaras, amplia sala, cocina integral , 2 1/2 baños, totalmente independiente , amplio patio trasero, la recamara principal es master room 
 estacionamiento para 3 autos. 
 totalmente independiente, pasillo de servicio, muros propios. 
 con bonito proyecto de ampliacion. 
para mayores informes comunicarse alos siguientes numeros para concretar una cita para que conoscas la casa 
srta. lissette  
cel./",Casa,Urbi Tonala,Tonalá,Jalisco,5.0,3.0,2.0,2.0,144.0,166.0,48551.0,,,2015-10-17 00:00:00,0.0,0.0,0.0,0.0,0.0,1200000.0
209067,"casa sola en toluca zinacantepec con credito infonavit,fovissste,banco.","casa en privada con caseta de vigilancia casas de dos y tres recamaras, a dies minutos del centro de toluca a un costado del valle de zamarrero areas comerciales zona de escuelas aceptamos todos los tipos de credito infonavit,cofinavit,fovissste,aliados,shf.asesor certificado    contactame si deseas fotos una presentacion o concertar una cita cel. email: ",Casa,IGNACIO MANUEL ALTAMIRANO 128,Zinacantepec,Edo. de México,1.0,2.0,1.0,1.0,63.0,67.0,53666.0,19.3018899,-99.6880151,2012-03-09 00:00:00,0.0,0.0,0.0,1.0,1.0,650000.0
185997,paseos del sol,bonito departamento en excelentes condiciones muy buena ubicacion listo para habitar llamenos !!!!!  y ,Apartamento,PASEOS DEL SOL ,Zapopan,Jalisco,10.0,2.0,1.0,1.0,95.0,95.0,47835.0,,,2016-06-07 00:00:00,0.0,0.0,0.0,0.0,0.0,1150000.0
126147,departamento en venta taxqueña,"amplio departamento, estancia de sala y comedor con pared de granito de mármol, dos recamaras con closet, cocina integral, un baño, piso laminado, recién remodelado, ubicación excelente.",Apartamento,Condominio Tlalpan 2B,Coyoacán,Distrito Federal,5.0,2.0,1.0,1.0,75.0,90.0,23650.0,19.300612,-99.14847480000005,2014-03-18 00:00:00,0.0,0.0,0.0,0.0,1.0,1100000.0
139233,de oportunidad casa en san lorenzo,"ubicada en esquina, pertenece san lorenzo agencia santiago etla.
cuenta con:
tres recamaras
2 baños completos
sala
comedor- cocina
cisterna
fosa séptica
patio. easybroker id: eb-t3055",Casa,,Oaxaca de Juárez,Oaxaca,,3.0,1.0,2.0,140.0,160.0,73510.0,17.1435035135,-96.8035043768,2016-02-23 00:00:00,0.0,0.0,0.0,0.0,0.0,1150000.0
5013,casa emilia en venta en selvamar playa del carmen,"casa emilia en venta playa del carmenfraccionamiento selvamar, con bicisendas, canchas de tenis con cesped, cenote, solarium con jacuzzi, jardin,alberca semiolimpica, colegio montessori,a 10 minutos de 5a. avenida,. recamaras con vestidor y closets, cochera cubierta para 2 carros, cocina equipada con estufa y campana tipo isla de granito.2 niveles. construccion nueva.",Casa,condominio el trebol,Playa del Carmen,Quintana Roo,2.0,4.0,2.0,3.0,293.0,293.0,130510.0,20.672612100000002,-87.0379684,2016-10-20 00:00:00,0.0,0.0,0.0,0.0,0.0,4200000.0
44962,pre- venta preciosos depas 2 recamaras con subsidio,"<p>pre-venta de preciosos departamento ecologicos &nbsp;se ejerce con subsidio de 62,000; sala, comedor, cocina con &nbsp;tarja &nbsp;y azulejo con cenefa decorativa en cocina con barra desayunador, patio de servicio, 2 recamaras, 1 ba&ntilde;o, protecciones en puertas y ventanas cajon designado de estacionamiento, &nbsp;enjarre general en toda la vivienda. acabados finos.&nbsp;</p>",Apartamento,BUENAVISTA DEPTOS CON SUBSIDIO,Villa de Alvarez,Colima,1.0,2.0,1.0,1.0,58.0,,9010.0,,,2014-01-06 00:00:00,0.0,0.0,0.0,1.0,1.0,310000.0
134537,terreno,"terreno de 5.500m2 bardeado, uso de suelo h-200-a, plano de forma irregular colinda al norte con circuito exterior mexiquense con 122m2, al oriente con 21m2 sobre una de las vías más importantes de ixtapaluca la av. morelos y gasolinera con 42m2.al sur con 105m2 con calle cerrada que le da acceso al terreno, el cuarto lado al poniente con 57m2 colinda con campo cuenta con una nave industrial con superficie aproximada a 1.890 m2 y construcción aproximada a 250m2 de una planta como oficinas",Terreno,Av. Morelos,Ixtapaluca,Edo. de México,,,,,250.0,,59171.0,19.316,-98.887,2016-12-22 00:00:00,0.0,0.0,0.0,0.0,0.0,6200000.0
51180,mi 2° credito,<p>mi 2&deg; credito<br />para todos aquellos trabajadores que ya tuvieron su primer credito por el infonavit y terminaron de pagarlo.<br />tienes derecho a tu 2&deg; credito</p>,Casa,MI 2° CREDITO,San Luis Potosí,San luis Potosí,0.0,3.0,1.0,1.0,100.0,,87542.0,22.19587786422682,-101.0189558599075,2013-01-03 00:00:00,0.0,0.0,0.0,1.0,1.0,488000.0
103293,"departamento en venta, san pedro garza garcia, nuevo león","departamento nuevo ,256 m2 de construccion,un departamento por piso,acabados de lujo,elevador directo a tu departamento,elevador de servicio,cocina integral ,lavavajillas, ,boliler,clinas con 5 aparatos, ilumimacion natural ,espejos ,,1 bodegas,dos cajones de estacinamiento ,vista panoramica,amenidades alberca,jacuzzi,salon   de eventos,ginmasio,sala de juntas, vigilancia 24 hrs ,camara de seguridad $7;",Apartamento,,San Pedro Garza García,Nuevo León,,3.0,2.0,4.0,256.0,,325095.0,,,2014-12-01 00:00:00,0.0,0.0,0.0,0.0,0.0,7200000.0
47890,hermosa casa en zibata queretaro 170m²,"<p><strong>casa </strong>en venta en fraccionamiento con campo de golf <strong>zibat&aacute;</strong>, 141.4 m de terreno, 170 m de construcci&oacute;n, en esquina, jardin de 98 m, 3 recamaras, 2 1/2 ba&ntilde;os, cocina, cochera 2 autos.</p>",Casa,"Pitahayas 2 - 58, Zibata",Querétaro,Querétaro,0.0,3.0,2.0,2.0,170.0,141.0,83666.0,20.682878110870973,-100.31750297524412,2013-08-12 00:00:00,0.0,1.0,0.0,1.0,1.0,1500000.0
130216,casa matias romero - sión bancaria,"flamante casa habitación en condominio horizontal, desarrollada en 3 niveles. planta baja: estancia, comedor, cocina con desayunador, sala, cuarto de tv, 3 recamaras, 2 baños completos, patio de servicio, cuarto de servicio con baño, estacionamiento para 2 vehículos con cochera semicubierta; ubicada en la calle matías romero, colonia del valle.  la mejor zona de méxico. 3 niveles, cochera, condominio horizontal. 227 m2 construcción 185 m2 terreno etapa - emplazamiento entrega - 36 meses solo pagos de contado.  garantía de entrega**invierte 3 ya que su valor comercial es de $6. los remates bancarios son una gran opción de sión y no representan riesgo alguno.",Casa,"MATIAS ROMERO, COLONIA DEL VALLE",Benito Juárez,Distrito Federal,20.0,,0.0,,227.0,185.0,50003995.0,19.374894917823344,-99.14951912584229,2015-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,3000000.0
181436,casa en venta en valle real,"pre venta de residencia en la toscana con excelente distribución, cuenta con vestidor y baño todas las recamaras.",Casa,,Zapopan,Jalisco,,,2.0,4.0,250.0,231.0,47732.0,20.729600778734547,-103.43199319089355,2014-11-25 00:00:00,0.0,0.0,0.0,0.0,0.0,5300000.0
